division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
BMT,Broadway,8th St,Stair,YES,FULL,FALSE,FALSE,"(40.730328, -73.992629)","c(-73.992629, 40.730328)"
BMT,Broadway,Canal St (UL),Stair,YES,NONE,FALSE,TRUE,"(40.719527, -74.001775)","c(-74.001775, 40.719527)"
BMT,Broadway,City Hall,Stair,YES,FULL,FALSE,TRUE,"(40.713282, -74.006978)","c(-74.006978, 40.713282)"
BMT,Broadway,Cortlandt St,Stair,NO,FULL,FALSE,TRUE,"(40.710668, -74.011029)","c(-74.011029, 40.710668)"
BMT,Broadway,Court St,Stair,YES,NONE,FALSE,TRUE,"(40.6941, -73.991777)","c(-73.991777, 40.6941)"
BMT,Broadway,Lawrence St,Stair,YES,FULL,FALSE,TRUE,"(40.69218, -73.985942)","c(-73.985942, 40.69218)"
BMT,Broadway,Prince St,Stair,YES,FULL,FALSE,FALSE,"(40.724329, -73.997702)","c(-73.997702, 40.724329)"
BMT,Broadway,Rector St,Stair,YES,FULL,FALSE,FALSE,"(40.70722, -74.013342)","c(-74.013342, 40.70722)"
BMT,Broadway,Times Square-42nd St,Stair,YES,NONE,TRUE,TRUE,"(40.754672, -73.986754)","c(-73.986754, 40.754672)"
BMT,Broadway,Union Square,Stair,YES,FULL,TRUE,TRUE,"(40.735736, -73.990568)","c(-73.990568, 40.735736)"
BMT,Broadway,Whitehall St,Stair,NO,FULL,FALSE,TRUE,"(40.703087, -74.012994)","c(-74.012994, 40.703087)"
BMT,Broadway Jamaica,104th St-102nd St,Stair,YES,FULL,FALSE,TRUE,"(40.695178, -73.84433)","c(-73.84433, 40.695178)"
BMT,Broadway Jamaica,111th St,Stair,YES,FULL,FALSE,TRUE,"(40.697418, -73.836345)","c(-73.836345, 40.697418)"
BMT,Broadway Jamaica,121st St,Stair,YES,FULL,FALSE,TRUE,"(40.700492, -73.828294)","c(-73.828294, 40.700492)"
BMT,Broadway Jamaica,Alabama Av,Stair,YES,FULL,FALSE,TRUE,"(40.676992, -73.898654)","c(-73.898654, 40.676992)"
BMT,Broadway Jamaica,Chauncey St,Stair,YES,FULL,FALSE,TRUE,"(40.682893, -73.910456)","c(-73.910456, 40.682893)"
BMT,Broadway Jamaica,Cleveland St,Stair,YES,FULL,FALSE,TRUE,"(40.679947, -73.884639)","c(-73.884639, 40.679947)"
BMT,Broadway Jamaica,Crescent St,Stair,YES,FULL,FALSE,TRUE,"(40.683194, -73.873785)","c(-73.873785, 40.683194)"
BMT,Broadway Jamaica,Cypress Hills,Stair,YES,FULL,FALSE,TRUE,"(40.689941, -73.87255)","c(-73.87255, 40.689941)"
BMT,Broadway Jamaica,Elderts Lane-75th St,Stair,YES,FULL,FALSE,TRUE,"(40.691324, -73.867139)","c(-73.867139, 40.691324)"
BMT,Broadway Jamaica,Flushing Av,Elevator,YES,FULL,TRUE,TRUE,"(40.70026, -73.941126)","c(-73.941126, 40.70026)"
BMT,Broadway Jamaica,Forest Parkway-85th St,Stair,YES,FULL,FALSE,TRUE,"(40.692435, -73.86001)","c(-73.86001, 40.692435)"
BMT,Broadway Jamaica,Gates Av,Stair,YES,FULL,FALSE,TRUE,"(40.68963, -73.92227)","c(-73.92227, 40.68963)"
BMT,Broadway Jamaica,Halsey St,Stair,YES,FULL,FALSE,TRUE,"(40.68637, -73.916559)","c(-73.916559, 40.68637)"
BMT,Broadway Jamaica,Hewes St,Stair,YES,FULL,FALSE,TRUE,"(40.70687, -73.953431)","c(-73.953431, 40.70687)"
BMT,Broadway Jamaica,Kosciusko St,Stair,YES,FULL,FALSE,TRUE,"(40.693342, -73.928814)","c(-73.928814, 40.693342)"
BMT,Broadway Jamaica,Lorimer St,Stair,YES,FULL,FALSE,TRUE,"(40.703869, -73.947408)","c(-73.947408, 40.703869)"
BMT,Broadway Jamaica,Marcy Av,Elevator,YES,FULL,TRUE,FALSE,"(40.708359, -73.957757)","c(-73.957757, 40.708359)"
BMT,Broadway Jamaica,Myrtle Av,Stair,YES,FULL,FALSE,TRUE,"(40.697207, -73.935657)","c(-73.935657, 40.697207)"
BMT,Broadway Jamaica,Norwood Av,Stair,YES,FULL,FALSE,TRUE,"(40.68141, -73.880039)","c(-73.880039, 40.68141)"
BMT,Broadway Jamaica,Van Siclen Av,Stair,YES,FULL,FALSE,TRUE,"(40.678024, -73.891688)","c(-73.891688, 40.678024)"
BMT,Broadway Jamaica,Woodhaven Blvd,Stair,YES,FULL,FALSE,TRUE,"(40.693879, -73.851576)","c(-73.851576, 40.693879)"
IRT,Broadway-7th Ave,116th St-Columbia University,Stair,YES,FULL,FALSE,TRUE,"(40.807722, -73.96411)","c(-73.96411, 40.807722)"
IRT,Broadway-7th Ave,137th St-City College,Stair,YES,FULL,FALSE,FALSE,"(40.822008, -73.953676)","c(-73.953676, 40.822008)"
IRT,Broadway-7th Ave,157th St,Stair,YES,FULL,FALSE,FALSE,"(40.834041, -73.94489)","c(-73.94489, 40.834041)"
IRT,Broadway-7th Ave,168th St,Stair,YES,NONE,FALSE,TRUE,"(40.840556, -73.940133)","c(-73.940133, 40.840556)"
IRT,Broadway-7th Ave,18th St,Stair,YES,FULL,FALSE,FALSE,"(40.74104, -73.997871)","c(-73.997871, 40.74104)"
IRT,Broadway-7th Ave,191st St,Door,YES,FULL,FALSE,TRUE,"(40.855225, -73.929412)","c(-73.929412, 40.855225)"
IRT,Broadway-7th Ave,207th St,Stair,YES,FULL,FALSE,FALSE,"(40.864614, -73.918819)","c(-73.918819, 40.864614)"
IRT,Broadway-7th Ave,215th St,Stair,YES,FULL,FALSE,FALSE,"(40.869444, -73.915279)","c(-73.915279, 40.869444)"
